style,artist,title,matched,video_id,youtube_url,video_title,source,score,searched_at
House,Slamm,Energize (Ride Of The Vulcans Mix),yes,BvRHfkcxvec,https://music.youtube.com/watch?v=BvRHfkcxvec,Energize,ytmusic,100.0,2026-09-04T01:13:24
House,Slamm,Energize (Safe Hands Planet Mix),yes,BvRHfkcxvec,https://music.youtube.com/watch?v=BvRHfkcxvec,Energize,ytmusic,100.0,2026-09-04T01:13:23
House,Spank Spank,Freak It (Club Mix),yes,7LW6N8K95-Q,https://music.youtube.com/watch?v=7LW6N8K95-Q,Freak It (Club Mix),ytmusic,100.0,2026-09-04T01:15:57
House,Spank Spank,Freak It (Rhythm Dub),yes,7mmxnhexR6E,https://music.youtube.com/watch?v=7mmxnhexR6E,Freak It (Rhythm Dub),ytmusic,100.0,2026-09-04T01:15:57
House,Spank Spank,Freak It (Special Mix),yes,KPp37W6oltM,https://music.youtube.com/watch?v=KPp37W6oltM,Freak It (Special Mix),ytmusic,100.0,2026-09-04T01:15:56
House,"Steve ""Silk"" Hurley",Jack Your Body (Club Your Body),yes,kCy3VFfnews,https://music.youtube.com/watch?v=kCy3VFfnews,Steve Silk Hurley -  Jack Your Body (Club Your Body),ytmusic,91.76470588235294,2026-09-04T01:16:37
House,"Steve ""Silk"" Hurley",Jack Your Body (Dub Your Body),yes,S_iF2YWOevo,https://music.youtube.com/watch?v=S_iF2YWOevo,"Steve ""Silk"" Hurley - Jack Your Body (Dub Your Body)",ytmusic,100.0,2026-09-04T01:16:38
House,"Steve ""Silk"" Hurley",Jack Your Body - Home Made,yes,MyVLAEihbSU,https://music.youtube.com/watch?v=MyVLAEihbSU,"Steve ""Silk"" Hurley - Jack Your Body - Home Made",ytmusic,100.0,2026-09-04T01:16:39
House,"Steve ""Silk"" Hurley","Steve ""Silk""  Hurley",yes,0B6tfGuc1cs,https://music.youtube.com/watch?v=0B6tfGuc1cs,"Steve ""Silk"" Hurley - Steve ""Silk"" Hurley",ytmusic,100.0,2026-09-04T01:16:39
House,Sunaas,106 Kid Gang,yes,qkUzVL7ZmQI,https://music.youtube.com/watch?v=qkUzVL7ZmQI,106 Kid Gang,ytmusic,100.0,2026-09-04T01:17:30
House,Sunaas,Brother System,yes,ki5pOvQPHe0,https://music.youtube.com/watch?v=ki5pOvQPHe0,Brother System,ytmusic,100.0,2026-09-04T01:17:29
House,Sunaas,Funky Blaster (Admo Remix),yes,3znJQV-N85E,https://music.youtube.com/watch?v=3znJQV-N85E,Funky Blaster (Admo Remix),ytmusic,100.0,2026-09-04T01:17:31
House,Sunaas,Funky Blaster (Original Mix),yes,TSDBNSixLe4,https://music.youtube.com/watch?v=TSDBNSixLe4,Funky Blaster,ytmusic,100.0,2026-09-04T01:17:31
House,Sweely,Back N Up,yes,qcHMHJlcdk0,https://music.youtube.com/watch?v=qcHMHJlcdk0,Sweely - Back n Up,ytmusic,100.0,2026-09-04T01:18:55
House,Sweely,Call Me Tonight (Huerta Remix),yes,lNPXx6sDzKA,https://music.youtube.com/watch?v=lNPXx6sDzKA,Call Me Tonight (Huerta Remix) (feat. Huerta),ytmusic,100.0,2026-09-04T01:17:59
House,Sweely,Deejays Bringing The Heat,yes,7wCMeEqrzec,https://music.youtube.com/watch?v=7wCMeEqrzec,Sweely - Deejays Bringing The Heat,ytmusic,100.0,2026-09-04T01:18:56
House,Sweely,Minilook (Gene On Earth Remix),yes,N2RmON-uWZY,https://music.youtube.com/watch?v=N2RmON-uWZY,MiniLook (Gene On Earth Remix) (feat. Gene On Earth),ytmusic,100.0,2026-09-04T01:17:57
House,Sweely,No Part Of It (OCB Remix),yes,kn8jgOhLv2k,https://music.youtube.com/watch?v=kn8jgOhLv2k,Sweely - No Part Of It (OCB Remix) [BSU011],ytmusic,100.0,2026-09-04T01:18:00
House,Sweely,Security (Garrett David Remix),yes,VIS_p7fJXfc,https://music.youtube.com/watch?v=VIS_p7fJXfc,Security (Garrett David Remix) (feat. Garrett David),ytmusic,100.0,2026-09-04T01:17:58
House,Sweely,Treat Me Like A Slut,yes,fQxFE9kqUig,https://music.youtube.com/watch?v=fQxFE9kqUig,Sweely - Treat Me Like A Slut  (Vocal : Kim Petras),ytmusic,100.0,2026-09-04T01:18:55
House,Sweely,What'S The Name,yes,CitcVgiMk8g,https://music.youtube.com/watch?v=CitcVgiMk8g,Sweely - What's the Name [YYKPLAY],ytmusic,100.0,2026-09-04T01:18:54
House,Tatie Dee,Bulles d'Acid Fraise,yes,GlWGbaAbOoI,https://music.youtube.com/watch?v=GlWGbaAbOoI,Bulle d'Acid Frais,ytmusic,96.55172413793103,2026-09-04T01:17:37
House,Tatie Dee,OMZ,yes,9MRCqX8mXyY,https://music.youtube.com/watch?v=9MRCqX8mXyY,OMZ,ytmusic,100.0,2026-09-04T01:17:38
House,Tatie Dee,Sierra Nevada,yes,pR4LyK_5ths,https://music.youtube.com/watch?v=pR4LyK_5ths,Sierra Nevada,ytmusic,100.0,2026-09-04T01:17:36
House,Tatie Dee,Take Me Up,yes,OsBkbFcSvVQ,https://music.youtube.com/watch?v=OsBkbFcSvVQ,Take Me Up,ytmusic,100.0,2026-09-04T01:17:36
House,Tatie Dee,Take Me Up (Mr. G's Taken Dub),yes,OsBkbFcSvVQ,https://music.youtube.com/watch?v=OsBkbFcSvVQ,Take Me Up,ytmusic,100.0,2026-09-04T01:17:38
House,Teack & Phase,Flavor,yes,Sby0S72BCFs,https://music.youtube.com/watch?v=Sby0S72BCFs,Teack & Phase – Flavor,ytmusic,100.0,2026-09-04T01:16:41
